rs, eps_C approx, eps_C PZ81, % error
1,-0.07879922569189017,-0.05963206637891296,-32.14236983032854
2,-0.06180090871586873,-0.04509121363384836,-37.057541226783464
3,-0.05275872856264745,-0.037213546938038494,-41.77291041483382
4,-0.04680529618904636,-0.032053881155111055,-46.02068299483653
5,-0.04246960847107914,-0.028338958789361355,-49.8629811587239
6,-0.03911686394304808,-0.025504224842145717,-53.37405541691855
7,-0.036418075238599294,-0.023253489875996437,-56.6133747356008
8,-0.034182078417976894,-0.02141378884269373,-59.626484920904765
9,-0.032288636842524955,-0.019876244884276396,-62.44837508551575
10,-0.03065758194116168,-0.018568388595879167,-65.10631379163098
11,-0.029233031438172078,-0.01743984915984185,-67.62204288719418
12,-0.027974580523039187,-0.01645438126924637,-70.01295925556524
13,-0.026852187992138496,-0.015585152482839232,-72.29339284107337
14,-0.025842953472648054,-0.01481182159007283,-74.47518737309463
15,-0.02492906870956245,-0.014118654410585428,-76.56830448992321
16,-0.024096437119674255,-0.013493267589607436,-78.58118472528788
17,-0.02333373078061323,-0.012925766959577202,-80.52105421353248
18,-0.022631725027650665,-0.01240814184202652,-82.39415148363915
19,-0.021982819416168368,-0.01193383002621552,-84.20590345159795
20,-0.021380686140559324,-0.011497399358500308,-85.96106366221036
21,-0.020820007508746824,-0.011094310728594504,-87.66382173779652
22,-0.020296276971665736,-0.010720738967223562,-89.31789155316063
23,-0.019805646170558126,-0.010373435656886074,-90.92658233640059
24,-0.01934480673078056,-0.010049622748705606,-92.49286480203625
25,-0.018910893435339034,-0.009746909140723998,-94.01938770852578
26,-0.018501414558170084,-0.009463224590131256,-95.50856456967453
27,-0.018114188118132216,-0.00919676686465333,-96.96256722296532
28,-0.017747297515873152,-0.008945959114541885,-98.38339621991416
29,-0.017399047243170134,-0.008709415213169694,-99.77285291049922
30,-0.017067933647276896,-0.008485911367461576,-101.13259387462227
31,-0.01675261726774248,-0.008274362703535274,-102.46413975283942
32,-0.016451900460791553,-0.00807380383150708,-103.76889015546706
33,-0.016164708635017604,-0.007883372616327397,-105.04813639708699
34,-0.015890074474370963,-0.007702296549559979,-106.30307301370708
35,-0.015627124522774084,-0.007529881244867049,-107.53480718473143
36,-0.015375067799466258,-0.007365500678060849,-108.74436744351948
37,-0.015133186042338856,-0.0072085888684578995,-109.9327110824151
38,-0.014900825339688499,-0.007058632757403265,-111.10073086123022
39,-0.014677388902658343,-0.0069151660862415395,-112.24926082195732
40,-0.014462330809324443,-0.006777764112680533,-113.37908149188665
41,-0.014255150555795421,-0.006646039033651178,-114.49092434782129
42,-0.014055388328475894,-0.006519636006090757,-115.58547617298123
43,-0.013862620852267665,-0.006398229675839917,-116.66338275747927
44,-0.013676457727957135,-0.006281521140020343,-117.725251942921
45,-0.013496538235987194,-0.006169235280598232,-118.7716568118704
46,-0.013322528502971873,-0.00606111841691861,-119.80313840733152
47,-0.013154118975427658,-0.00595693623326918,-120.82020791094901
48,-0.012991022210714829,-0.0058564719443531706,-121.82334917937779
49,-0.012832970877563892,-0.005759524667198233,-122.81302050237758
50,-0.01267971597192988,-0.005665907972723068,-123.78965618525454
51,-0.012531025297632547,-0.005575448594101553,-124.75366934401518
52,-0.012386681963527279,-0.00548798527234608,-125.70545197968524
53,-0.012246483130143749,-0.005403367722290882,-126.6453767272306
54,-0.012110238930963739,-0.005321455704483513,-127.57379941658513
55,-0.01197777123368483,-0.005242118190462399,-128.49105644884915
56,-0.011848913054937169,-0.005165232610570708,-129.39747245241637
57,-0.011723507359612776,-0.005090684174881045,-130.29335462333452
58,-0.011601406484304674,-0.0050183652590218425,-131.17899725310087
59,-0.011482471400766223,-0.004948174847738279,-132.05468185940626
60,-0.011366571043874386,-0.004880018029915416,-132.92067722281345
61,-0.011253585839626741,-0.004813805539561856,-133.77732538508445
62,-0.011143390935319228,-0.004749453337917521,-134.62470609733873
63,-0.011035880023525601,-0.004686882232424938,-135.46313895358466
64,-0.01093094887335347,-0.004626017528802893,-136.29285460537693
65,-0.0108284983161111,-0.004566788712895667,-137.11406410227954
66,-0.01072843463867018,-0.004509129159349512,-137.9269756872049
67,-0.010630669426638666,-0.00445297586449857,-138.73179981485796
68,-0.010535118161847136,-0.0043982692011317265,-139.52872550721372
69,-0.010441700766377083,-0.004344952693065512,-140.31793908923106
70,-0.010350341121892237,-0.004292972807671067,-141.09961990435446
71,-0.010260966824634479,-0.0042422787646993615,-141.87394072302658
72,-0.010173508957638275,-0.004192822359921929,-142.64106809971574
73,-0.010087901875562412,-0.004144557802257217,-143.4011626057747
74,-0.010004083197740503,-0.004097441563187978,-144.1543837407876
75,-0.009921992688731125,-0.004051432237395082,-144.90086733156352
76,-0.009841573965454637,-0.004006490413639662,-145.64077158278144
77,-0.009762772457950732,-0.003962578555020244,-146.37423138481748
78,-0.009685536205298944,-0.003919660887815908,-147.10138153547936
79,-0.009609815537383902,-0.0038777032982018566,-147.82235252088788
80,-0.009535562935995275,-0.003836673236191027,-148.537270415606
81,-0.009462732927954087,-0.0037965396262156005,-149.24625737112513
82,-0.009391281965773025,-0.0037572727838162093,-149.94943157239788
83,-0.009321168328335416,-0.0037188443379550487,-150.6469075137741
84,-0.009252352020951798,-0.0036812271585125746,-151.3387960739232
85,-0.009184794688447948,-0.0036443952885666315,-152.02520476477724
86,-0.009118459528832036,-0.0036083238810880524,-152.70623783590236
87,-0.009053311212945309,-0.0035729891397186003,-153.381996387997
88,-0.008989315811000478,-0.0035383682633257996,-154.05257853378998
89,-0.008926440722170557,-0.003504439394055164,-154.71807951118026
90,-0.008864654738157183,-0.0034711815686238145,-155.37859552739172
91,-0.008803927330325432,-0.003438574672620755,-156.0342051148595
92,-0.008744229893460388,-0.0034065993975984045,-156.68500674381977
93,-0.0086855348523097,-0.0033752372007574715,-157.33109514082417
94,-0.008627814408617563,-0.0033444702670432465,-157.97252538427182
95,-0.008571042939283078,-0.0033142814734858418,-158.6093851065813
96,-0.008515195931017858,-0.003284654355630156,-159.24176516235696
97,-0.008460249090869842,-0.0032555730759133723,-159.86973394833916
98,-0.008406179270424977,-0.0032270223938587815,-160.49336646756603
99,-0.008352964180769931,-0.0031989876379647938,-161.11273709341728
100,-0.008300581961168223,-0.0031714546791771605,-161.72790724923186
