Iteration, A, B, C, D, Res.
LSQ, 4.4751902217757555, 1.768782383936999, 0.039292918245794346, 2.9213817608546777 
0, 4.6243632291682815, 1.5919041455432992, 0.04322221007037379, 3.018761152883167 
1, 4.470217788196006, 1.4327137309889693, 0.04466295040605292, 2.918135781120395 
2, 4.470217788196006, 1.4327137309889693, 0.04466295040605292, 2.918135781120395 
3, 4.470217788196006, 1.4327137309889693, 0.04466295040605292, 2.918135781120395 
==================
fitted parameters:
4.470217788196006, 1.4327137309889693, 0.04466295040605292, 2.918135781120395, 
Residual 0.00010413108041674726
Method lsq_refine
==================
rs, eps_c (hartree/electron), Abs. rel. error
1, -0.06217367068896347, 0.0023998065045593847
2, -0.045923977759041876, 0.0011643877282559306
3, -0.03753547300090744, 0.0005941993516048322
4, -0.03211790521981304, 0.00025152651011374483
5, -0.028182677506594818, 3.358356237893878e-05
6, -0.02514636083121643, 0.00028078456517457995
7, -0.02299682478970786, 0.0002113361778642922
8, -0.02115465362845633, 0.00023604235011830468
9, -0.01956657318712203, 0.00030231816007886617
10, -0.01833884567025832, 0.00023345207358999032
11, -0.017185803306957542, 0.0002660917200615065
12, -0.016258561975542242, 0.00021378809957184677
13, -0.015397767842360813, 0.00020968718128742264
14, -0.014607135047292257, 0.0002301675713717987
15, -0.013979012790090256, 0.00016745176262510791
16, -0.013379421694231229, 0.00014335431878016724
17, -0.012864197186481628, 9.230377500510888e-05
18, -0.012313422309790309, 0.00012632216514537817
19, -0.011862354689127635, 0.000103675296573345
20, -0.011443212382317549, 8.677694034149933e-05
21, -0.011055282630959342, 7.184896883025323e-05
22, -0.010695465656664278, 5.820263042649772e-05
23, -0.010360878163309644, 4.550084315063825e-05
24, -0.01004917792848278, 3.332937856331125e-05
25, -0.009759154791751202, 2.0524028427584134e-05
26, -0.009498541059941868, 2.7047257979521955e-06
27, -0.009197589277220773, 3.1598533132741816e-05
28, -0.008968135243714766, 1.0029160214804905e-05
29, -0.008740854308785361, 5.31985706637636e-07
30, -0.008524289607349191, 6.654937621135282e-06
31, -0.008318487240772516, 1.2658643797456778e-05
32, -0.008122824205752777, 1.7818397232874372e-05
33, -0.00793659619548738, 2.228955203087933e-05
34, -0.007759124964341542, 2.6164411503263284e-05
35, -0.007589782555571561, 2.950785586337129e-05
36, -0.007427994829146395, 3.237054766152495e-05
37, -0.007273238944646416, 3.479466819693994e-05
38, -0.0071250391082142775, 3.6816734210107054e-05
39, -0.006982962025424621, 3.846913153168763e-05
40, -0.006846612567760345, 3.9781032189046585e-05
41, -0.006715629821853793, 4.077899429243744e-05
42, -0.006589683560602274, 4.148739103559951e-05
43, -0.006468471125545237, 4.1928746955272045e-05
44, -0.006351714693758336, 4.212402851139479e-05
45, -0.006239158902070667, 4.2092923438888374e-05
46, -0.006130568810429308, 4.185414239600994e-05
47, -0.0060257282047640835, 4.142578679156624e-05
48, -0.005924438273821414, 4.082585405764793e-05
49, -0.00582651676108138, 4.0073012690378974e-05
50, -0.005731797835555594, 3.918791742861527e-05
51, -0.005640133262769966, 3.819566856340297e-05
52, -0.005551396349876785, 3.713090876482361e-05
53, -0.005465492844254173, 3.604975349518272e-05
54, -0.005382392788959318, 3.506257277466774e-05
55, -0.005302243730514704, 3.444803222879371e-05
56, -0.005225966640630619, 3.524976581078306e-05
57, -0.005164429659124287, 4.845079683698031e-05
58, -0.005053145758199602, 9.671815666567433e-06
59, -0.00499035865393805, 1.725764701133569e-05
60, -0.004922007303773655, 1.7242251895551938e-05
61, -0.004854291440256148, 1.5914720045088343e-05
62, -0.00478792728176289, 1.407539818921652e-05
63, -0.004723061868564166, 1.1950606922397043e-05
64, -0.0046597074759761785, 9.627401608861517e-06
65, -0.00459783169052683, 7.143966573423116e-06
66, -0.0045373838223254645, 4.516318706102723e-06
67, -0.004478303876898468, 1.747546357618729e-06
68, -0.004420525126928133, 1.1693737186988656e-06
69, -0.004363973220366533, 4.252242834308813e-06
70, -0.004308561833741743, 7.533779578024202e-06
71, -0.004254182193454329, 1.1071907321560416e-05
72, -0.004200677225624866, 1.497542798069209e-05
73, -0.004147765395712148, 1.9480019481580083e-05
74, -0.004094730240103204, 2.5258553540935536e-05
75, -0.004037929927387543, 3.591139497203643e-05
76, -0.004050754237811003, 2.1990706942441596e-05
77, -0.003955991066433488, 2.8726758589303104e-05
78, -0.0038986781900420065, 4.2990185739207563e-05
79, -0.0038208778826017134, 7.870313326112897e-05
80, -0.003865415159038805, 6.99201541043068e-06
81, -0.0037803273324269436, 3.7836301172037255e-05
82, -0.003687995541330681, 9.077721175573426e-05
83, -0.0036825948713709086, 5.762721307424378e-05
84, -0.0036777242395898586, 2.4760212921004585e-05
85, -0.0035829506079509826, 8.258324887126496e-05
86, -0.0035609568141288118, 6.838859413267097e-05
87, -0.0035887435317831897, 5.15173799293207e-06
88, -0.0035621299995528414, 2.969398669045494e-06
89, -0.003483066457281878, 4.205304838943852e-05
90, -0.003521434293579339, 2.9683309539001602e-05
91, -0.0034049715731740916, 5.4063312786224466e-05
92, -0.0033297090526846415, 9.724281582885715e-05
93, -0.003824038337416817, 0.00042855498188033034
94, -0.0033297372752571705, 3.4874224416055893e-05
95, -0.00332007201172458, 1.4247134950880116e-05
96, -0.003260513932150129, 4.4075869643682344e-05
97, -0.003195720571109642, 7.968702700644889e-05
98, -0.003178055087090328, 6.870217963687733e-05
99, -0.0031672605224761646, 5.1363586086069016e-05
100, -0.003095748783933128, 9.524518391221953e-05
