Iteration, k0, k1, k2, k3, k4,  SSR 
LSQ, 1.2246583812103227, 0.9778222028094572, 0.39421991182562477, 1.330112120238163, 1.0036247185498683, 0.006101086783101098
0,1.2246583812103227,0.9778222028094572,0.39421991182562477,1.330112120238163,1.0036247185498683,0.006101086783101098
1,1.2246583812103227,0.9778222028094572,0.39421991182562477,1.330112120238163,1.0036247185498683,0.006101086783101098
2,1.2246583812103227,0.9778222028094572,0.39421991182562477,1.330112120238163,1.0036247185498683,0.006101086783101098
3,1.2246583812103227,0.9778222028094572,0.39421991182562477,1.330112120238163,1.0036247185498683,0.006101086783101098
4,1.2246583812103227,0.9778222028094572,0.39421991182562477,1.330112120238163,1.0036247185498683,0.006101086783101098
5,1.2246583812103227,0.9778222028094572,0.39421991182562477,1.330112120238163,1.0036247185498683,0.006101086783101098
6,1.2246583812103227,0.9778222028094572,0.39421991182562477,1.330112120238163,1.0036247185498683,0.006101086783101098
7,1.2246583812103227,0.9778222028094572,0.39421991182562477,1.330112120238163,1.0036247185498683,0.006101086783101098
8,1.2246583812103227,0.9778222028094572,0.39421991182562477,1.330112120238163,1.0036247185498683,0.006101086783101098
9,1.2246583812103227,0.9778222028094572,0.4164198206289841,1.2801765946059764,1.0224639303334844,0.006092926185935094
10,1.2246583812103227,0.9778222028094572,0.3988322728582544,1.3162222163515096,1.0080692959382995,0.006091998284085513
11,1.2246583812103227,0.9778222028094572,0.40304345668279484,1.3023245102624885,1.018713281899235,0.00608660492954407
12,1.2246583812103227,0.9778222028094572,0.40942692989023766,1.2920112878533234,1.018713281899235,0.006084691990585627
13,1.2246583812103227,0.9778222028094572,0.40456349805548486,1.2996849511732842,1.018713281899235,0.006084684664096283
14,1.2246583812103227,0.9778222028094572,0.40456349805548486,1.305474380896782,1.0141754368248381,0.006083790877566632
15,1.2205669625783058,0.9745554305889295,0.4086182744547831,1.3185586228884376,1.010787213347971,0.006077875429015795
16,1.2205669625783058,0.9745554305889295,0.41168983629281003,1.3218624679034208,1.0082545354388819,0.006060230609298981
17,1.2205669625783058,0.9745554305889295,0.4140108242465692,1.3168942829673094,1.010149284369411,0.006052627605259205
18,1.2205669625783058,0.9745554305889295,0.41576137900483406,1.313182148858456,1.01157301657861,0.0060475790362070755
19,1.2205669625783058,0.9745554305889295,0.41707984645368185,1.3117940225556377,1.01157301657861,0.006044083193272163
20,1.2205669625783058,0.9745554305889295,0.41807183289510386,1.3097140341227622,1.0123749946854295,0.006041658625869783
21,1.2205669625783058,0.9745554305889295,0.4188175922382464,1.3081565163296625,1.0129769551235215,0.0060399611638828525
22,1.2200226486921186,0.9736862213280004,0.41937790946349673,1.3064063925454494,1.0116217388020101,0.006038675477252377
23,1.2204307020534904,0.9740118840818519,0.41979870959985094,1.3050955557662294,1.010606686373113,0.006035887276947688
24,1.2201245596731656,0.9735232265674915,0.4201146263725064,1.3041134146434572,1.0098461609225051,0.00603481963658288
25,1.2201245596731656,0.9735232265674915,0.42035174225782346,1.3033773631292858,1.0092761960808887,0.006033690223671166
26,1.2199523977815039,0.9732484946166695,0.42052967954431597,1.3028256360684551,1.0088489637190399,0.006033133773730371
27,1.2200815009809727,0.9733514900243279,0.4206631890005854,1.3024120159347374,1.0085286750850722,0.006032508114472396
28,1.2199846633344735,0.9731969805633868,0.42076335288265115,1.3021018993213131,1.008288534873348,0.0060321608393785
29,1.2200572858048582,0.9732549124136989,0.4208384936816759,1.3018693672425181,1.008108472599296,0.006031883611818756
30,1.2200028157098017,0.9731680094654354,0.4208948593450452,1.3016949993279703,1.0079734500106798,0.006031677447488547
31,1.2200028157098017,0.9731680094654354,0.42093713925463977,1.3015642409077393,1.0078721966325643,0.0060315192591622255
32,1.2199721776492458,0.9731191309218431,0.4209688523721753,1.3014661819438165,1.0077962642273381,0.00603140468692773
33,1.2199721776492458,0.9731191309218431,0.4209926390022604,1.301392643261646,1.0077393192139403,0.006031320908539332
34,1.21995494417298,0.9730916381220011,0.42101047998286284,1.3013374923664676,1.0076966128671287,0.006031256902777945
35,1.21995494417298,0.9730813286133353,0.42102386128536834,1.3012961309479874,1.007664584464389,0.0060312102302059285
36,1.21995494417298,0.9730813286133353,0.4210338975812287,1.3012651108700937,1.0076405639258217,0.00603117398948955
37,1.2199476739028825,0.9730697305389645,0.42104142498255664,1.301241846366262,1.0076225489513444,0.006031147708175727
38,1.2199476739028825,0.9730697305389645,0.4210470706344859,1.3012243983003369,1.0076090379620453,0.006031127615550718
39,1.219951763405441,0.9730729924585023,0.4210513049302088,1.301211312426361,1.0075989048559453,0.006031112760616505
40,1.2199486962682407,0.9730680995627937,0.4210544806839379,1.3012014981195783,1.0075913051027987,0.006031101523505869
41,1.2199463959211236,0.9730644299094644,0.42105686251719937,1.3011941374450093,1.0075856053309293,0.006031093152216687
42,1.2199463959211236,0.9730644299094644,0.42105864890225075,1.301188616970311,1.0075813305262094,0.006031086870691847
43,1.2199463959211236,0.9730633978233578,0.4210599886967235,1.3011844766318534,1.0075781244362716,0.006031082160687413
==================
k0, k1, k2, k3, k4, 
1.2199463959211236,0.9730633978233578,0.4210599886967235,1.3011844766318534,1.0075781244362716
Sum of square residuals =, 0.006031082160687413
==================
1.219946,0.973063,0.42106,1.301184,1.007578 (rounded) 
Sum of square residuals (rounded pars) =, 0.006031081970446576, (abs diff = 1.902408369724995e-10)
