# rs,eps_c
1.000000000000000056e-01,-1.440610383475211531e-01
2.000000000000000111e-01,-1.235037865912784194e-01
3.000000000000000444e-01,-1.117572714324107097e-01
4.000000000000000222e-01,-1.035890630742142687e-01
5.000000000000000000e-01,-9.736686037758639223e-02
5.999999999999999778e-01,-9.236671317691219629e-02
7.000000000000000666e-01,-8.820405116063793904e-02
8.000000000000000444e-01,-8.465025547432861175e-02
9.000000000000000222e-01,-8.155845340462550275e-02
1.000000000000000000e+00,-7.882875786430162957e-02
2.000000000000000000e+00,-6.184208379138181333e-02
3.000000000000000000e+00,-5.284017712195837602e-02
4.000000000000000000e+00,-4.687798306952890848e-02
5.000000000000000000e+00,-4.244756940684020485e-02
6.000000000000000000e+00,-3.895672709614378393e-02
7.000000000000000000e+00,-3.638784960029351617e-02
8.000000000000000000e+00,-3.415768693665155453e-02
9.000000000000000000e+00,-3.220969965822394199e-02
1.000000000000000000e+01,-3.064733446464804403e-02
1.100000000000000000e+01,-2.918250654617666334e-02
1.200000000000000000e+01,-2.796414194661741431e-02
1.300000000000000000e+01,-2.683097546123540400e-02
1.400000000000000000e+01,-2.578501775722254197e-02
1.500000000000000000e+01,-2.491704065961240083e-02
1.600000000000000000e+01,-2.409175595585760082e-02
1.700000000000000000e+01,-2.336377290499668663e-02
1.800000000000000000e+01,-2.261206212066512247e-02
1.900000000000000000e+01,-2.197093046009610667e-02
2.000000000000000000e+01,-2.137171464090937417e-02
2.100000000000000000e+01,-2.081291531455206623e-02
2.200000000000000000e+01,-2.029072460268632402e-02
2.300000000000000000e+01,-1.980162025146518096e-02
2.400000000000000000e+01,-1.934268235453456830e-02
2.500000000000000000e+01,-1.891217754745044138e-02
2.600000000000000000e+01,-1.851736561703800493e-02
2.700000000000000000e+01,-1.808806168834421052e-02
2.800000000000000000e+01,-1.773570815638530335e-02
2.900000000000000000e+01,-1.739062668877951190e-02
3.000000000000000000e+01,-1.706102964726709248e-02
3.100000000000000000e+01,-1.674666230443697806e-02
3.200000000000000000e+01,-1.644662576715080066e-02
3.300000000000000000e+01,-1.615996222492009637e-02
3.400000000000000000e+01,-1.588576011722913142e-02
3.500000000000000000e+01,-1.562317641934088397e-02
3.600000000000000000e+01,-1.537143844546858679e-02
3.700000000000000000e+01,-1.512983979634492486e-02
3.800000000000000000e+01,-1.489773473683487365e-02
3.900000000000000000e+01,-1.467453242541994635e-02
4.000000000000000000e+01,-1.445969148589141412e-02
4.100000000000000000e+01,-1.425271507533386849e-02
4.200000000000000000e+01,-1.405314647438567904e-02
4.300000000000000000e+01,-1.386056517772981875e-02
4.400000000000000000e+01,-1.367458344810293033e-02
4.500000000000000000e+01,-1.349484329793690374e-02
4.600000000000000000e+01,-1.332101387288486469e-02
4.700000000000000000e+01,-1.315278923098986072e-02
4.800000000000000000e+01,-1.298988654623544660e-02
4.900000000000000000e+01,-1.283204483263172824e-02
5.000000000000000000e+01,-1.267902442837225141e-02
5.100000000000000000e+01,-1.253060781776948671e-02
5.200000000000000000e+01,-1.238660326203717618e-02
5.300000000000000000e+01,-1.224685541647105649e-02
5.400000000000000000e+01,-1.211127693838355210e-02
5.500000000000000000e+01,-1.197996149594942640e-02
5.600000000000000000e+01,-1.185377968526785813e-02
5.700000000000000000e+01,-1.174355893084843075e-02
5.800000000000000000e+01,-1.158474866076439000e-02
5.900000000000000000e+01,-1.147556301393361407e-02
6.000000000000000000e+01,-1.136190493912981637e-02
6.100000000000000000e+01,-1.124993484785525265e-02
6.200000000000000000e+01,-1.114033528024258035e-02
6.300000000000000000e+01,-1.103322258860824773e-02
6.400000000000000000e+01,-1.092858139745763423e-02
6.500000000000000000e+01,-1.082635497875229953e-02
6.600000000000000000e+01,-1.072647219859376028e-02
6.700000000000000000e+01,-1.062885738931639186e-02
6.800000000000000000e+01,-1.053343445798083679e-02
6.900000000000000000e+01,-1.044012872835935538e-02
7.000000000000000000e+01,-1.034886778876418709e-02
7.100000000000000000e+01,-1.025958186759079460e-02
7.200000000000000000e+01,-1.017220397125486939e-02
7.300000000000000000e+01,-1.008666989797544523e-02
7.400000000000000000e+01,-1.000291818550150258e-02
7.500000000000000000e+01,-9.920890023923899237e-03
7.600000000000000000e+01,-9.840529150867236008e-03
7.700000000000000000e+01,-9.761781738918805240e-03
7.800000000000000000e+01,-9.684596281003167093e-03
7.900000000000000000e+01,-9.608923477024841620e-03
8.000000000000000000e+01,-9.534716123692613815e-03
8.100000000000000000e+01,-9.461929008590816426e-03
8.200000000000000000e+01,-9.390518809044384047e-03
8.300000000000000000e+01,-9.320443996005060849e-03
8.400000000000000000e+01,-9.251664742988942661e-03
8.500000000000000000e+01,-9.184142839974309899e-03
8.600000000000000000e+01,-9.117841612097370846e-03
8.700000000000000000e+01,-9.052725842941053078e-03
8.800000000000000000e+01,-8.988761702191594427e-03
8.900000000000000000e+01,-8.925916677428683346e-03
9.000000000000000000e+01,-8.864159509814607124e-03
9.100000000000000000e+01,-8.803460133453074044e-03
9.200000000000000000e+01,-8.743789618196091615e-03
9.300000000000000000e+01,-8.685120115687592485e-03
9.400000000000000000e+01,-8.627424808442986023e-03
9.500000000000000000e+01,-8.570677861775783182e-03
9.600000000000000000e+01,-8.514854378392928622e-03
9.700000000000000000e+01,-8.459930355492362164e-03
9.800000000000000000e+01,-8.405882644206450274e-03
9.900000000000000000e+01,-8.352688911245355688e-03
1.000000000000000000e+02,-8.300327602604018473e-03
1.010000000000000000e+02,-8.248777909205548195e-03
1.020000000000000000e+02,-8.198019734362143110e-03
1.030000000000000000e+02,-8.148033662942977262e-03
1.040000000000000000e+02,-8.098800932145534121e-03
1.050000000000000000e+02,-8.050303403774120015e-03
1.060000000000000000e+02,-8.002523537935554709e-03
1.070000000000000000e+02,-7.955444368067958807e-03
1.080000000000000000e+02,-7.909049477224499095e-03
1.090000000000000000e+02,-7.863322975538560369e-03
1.100000000000000000e+02,-7.818249478802177799e-03
1.110000000000000000e+02,-7.773814088093616154e-03
1.120000000000000000e+02,-7.730002370394447458e-03
1.130000000000000000e+02,-7.686800340139904666e-03
1.140000000000000000e+02,-7.644194441650549454e-03
1.150000000000000000e+02,-7.602171532395804975e-03
1.160000000000000000e+02,-7.560718867043672228e-03
1.170000000000000000e+02,-7.519824082253471001e-03
1.180000000000000000e+02,-7.479475182171228809e-03
1.190000000000000000e+02,-7.439660524589823687e-03
1.200000000000000000e+02,-7.400368807738390980e-03
